"sex","Order","edu","ethnic","politicalid_6","country_mig","major","age","Mn_RT_all_3467","PCT_error_3467","D_biep.Male_Career_all","assocareer","assofamily","impcareer","impfamily","havechildren","numboys","numgirls","planchildren"
"f",1,12,5,5,FALSE,6,32,979.266666666667,0.833333333333333,0.583169384536077,5,3,5,4,"no",NA,NA,"2"
"m",1,9,5,4,FALSE,1,25,715.116666666667,5,0.254538727445372,4,3,2,4," ",NA,NA,"."
"m",2,4,5,3,FALSE,NA,21,672.925,4.16666666666667,0.140204906711313,4,2,4,4,"no",NA,NA,"3"
"f",2,7,5,4,FALSE,11,22,1025.65833333333,4.16666666666667,0.984645228058189,4,NA,4,4,"no",NA,NA,"3"
"f",2,7,5,4,FALSE,11,21,898.633333333333,7.5,0.0506853404763851,4,1,4,5,"no",NA,NA,"3"
"f",1,9,5,4,FALSE,6,43,786.4,5,0.457084260219839,3,3,4,4,"yes",NA,NA,"."
"m",1,9,6,6,FALSE,8,19,949.766666666667,3.33333333333333,0.209289649112716,3,2,1,4,"no",NA,NA,"3"
"f",2,7,8,3,TRUE,12,20,708.2,6.66666666666667,0.614055199328273,3,3,5,5,"no",NA,NA,"3"
"m",1,9,2,4,TRUE,8,21,713.75,5,0.035754959682253,4,4,4,5,"no",NA,NA,"3"
"f",2,13,5,5,FALSE,8,43,860.05,0.833333333333333,0.887956523776016,4,2,4,2,"no",NA,NA,"2"
"f",1,4,5,3,FALSE,1,21,772.933333333333,0,0.430204045239118,3,2,3,4,"no",NA,NA,"3"
"f",1,7,5,5,FALSE,10,36,746.266666666667,2.5,0.552347907890725,4,2,4,5,"no",NA,NA,"3"
"f",2,7,5,3,FALSE,13,34,712.141666666667,3.33333333333333,0.503902353913674,4,3,3,4,"no",NA,NA,"3"
"m",2,7,7,5,FALSE,2,37,1287.35833333333,3.33333333333333,0.274021399331476,3,3,5,3,"no",NA,NA,"3"
"f",2,5,5,3,FALSE,10,22,739.775,4.16666666666667,0.775999822472442,3,2,4,5,"no",NA,NA,"3"
"f",2,7,5,5,FALSE,9,26,559.425,5.83333333333333,0.52694551273085,3,3,3,5,"no",NA,NA,"3"
"m",2,9,5,5,FALSE,12,28,775.358333333333,1.66666666666667,0.388400521590541,3,3,3,4,"no",NA,NA,"3"
